uid,Name,中文名 ,分类学地位 ,Class,活病毒培养、感染性材料核酸提取,动物感染 ,未灭活样本的检测、诊断 ,已确认灭活材料的实验操作 ,重组病毒,Note
40,Everglade virus ,Everglade病毒 ,披膜病毒科/甲病毒属(A 群虫媒病毒) ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
41,Garba virus ,Garba 病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
42,Germiston virus ,Germiston 病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
43,Gerstmann-Straussler-Scheinker virus ,一种朊病毒,非传统病原体，或称蛋白粒子 ,B ,BSL-3,ABSL-3,免疫学检测BSL-2 ,BSL-1, ,需要有 136℃高压灭菌条件 
44,Getah virus ,Getah 病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
45,Gordil virus ,Gordil 病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
46,"H ataviruses,Other ",其它汉坦病毒 ,布尼雅病毒科/汉坦病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
47,Hantaviruses cause Pulmonary syndrome hemorrhagic fever virus) ,引起肺综合征出血热的汉坦病毒 ,布尼雅病毒科 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
48,Hantaviruses cause Renal syndrome hemorrhagic fever virus) ,引起肾综合征出血热的汉坦病毒 ,布尼雅病毒科 ,B ,BSL-2,ABSL-3,BSL-2 ,BSL-1, ,有疫苗 
49,Herpes saimiri virus ,松鼠猴疱疹病毒 ,疱疹病毒科/猴病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
50,Human immunodeficiency virus (HIV) type 1 and 2 virus ,人类免疫缺陷病毒 ,逆转录病毒科/慢病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1,BSL-2 ,慢病毒载体一般为双基因缺失 
51,Inhangapi virus ,Inhangapi 病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
52,Inini virus ,Inini 病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
53,Israel Turkey virus ,以色列火鸡病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
54,Issyk-Kul virus ,Issyk-Kul 病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
55,Itaituba virus ,Itaituba病毒,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
56,Japanese encephalitis virus ,乙型脑炎病毒 ,黄病毒科/黄病毒属(B 群虫媒病毒),B ,BSL-2,BSL-2 ,BSL-2 ,BSL-1,BSL-2 ,有疫苗 
57,Kair(X) virus ,Kair 病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
58,"Khasan, Koutango virus ","Khasan, Koutango 病毒 ",X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
59,Kuru virus ,Kuru 病 ,非传统病原体/蛋白粒子 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
60,Kyzylagach virus ,Kyzylagach病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
61,Lbaraki virus ,Lbaraki 病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
62,Lymphocytic choriomeningitis (neurotropic) virus ,淋巴细胞性脉络丛脑膜炎(亲神经性的)病毒 ,沙粒病毒属 ,B：亲神经性毒株为二类 ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
63,Mayaro virus ,Mayaro 病毒 ,披膜病毒科甲病毒属(A 群虫媒病毒) ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
64,Middelburg virus ,米德尔堡病毒 ,X-虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
65,Milker' s node virus ,挤奶工结节病毒 ,痘病毒科 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
66,Mucambo virus ,Murcambo病毒 ,披膜病毒科甲病毒属(A 群虫媒病毒) ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
67,Murray valley encephalitis(Australia encephalitis) ,墨累谷脑炎病毒(澳洲脑炎病毒) ,黄病毒科/黄病毒属(B 群虫媒病毒),B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
68,Nairobi Sheep Disease Virus ,内罗毕羊病病毒 ,布尼雅病毒科/内罗病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
69,"Nariva, Negishi ","Nariva 病毒, Negishi 病毒 ",X-虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
70,Ndumu virus ,恩杜姆病毒,披膜病毒科甲病毒属(A 群虫媒病毒) ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
71,"New Minto Nodamua,Northway",新岷托病毒，野田村病毒，洛维斯病毒 ,X-虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
72,Orf virus ,口疮病毒 ,痘病毒科/副痘病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
73,Oropouche virus ,Oropouche病毒 ,布尼雅病毒科/布尼雅病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
74,Other pathogenic orthopoxviruses not in RG 1 or3,不属于危险组 1 或 3 的其他正痘病毒属病毒 ,痘病毒科/正痘病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
75,"Paramushir, Piry ",Paramushir病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
76,Polioviruses ,脊髓灰质炎病毒 ,腺病毒科小 RNA 病毒科/肠道病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1,BSL-2 ,重组病毒载体只能操作疫苗株 
77,Powassan virus ,Powassan 病毒 ,黄病毒科/黄病毒属(B 群虫媒病毒),B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
78,Rabbitpox virus (vaccinia variant) ,兔痘病毒 (痘苗病毒变种) ,痘病毒科 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
79,Razdan virus ,Razdan 病毒,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
80,Rift Valley Fever virus ,裂谷热病毒,布尼雅病毒科/白蛉病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
81,Rochambeau virus ,Rochambeau病毒 ,X—虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
82,Rocio virus ,罗西奥病毒 ,黄病毒科/黄病毒属(B 组虫媒病毒),B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
83,Sagiyama virus ,Sagiyama 病毒 ,X-虫媒病毒 ,B ,BSL-3,ASL-3 ,ABSL-3,BSL-1, , 
84,"Salanga, Santa Rosa, Saumarex",Salanga 病毒 ,X-虫媒病毒 ,B ,BSL-3,ABSL-3,ABSL-3,BSL-1, , 
85,SARS associated coronavirus ,SARS 病毒 ,冠状病毒科 ,B ,BSL-3,ASL-3 ,BSL-2 ,BSL-1,至少BSL-3, 
86,Semliki Forest virus ,塞姆利基森林病毒 ,披膜病毒科/甲病毒属(A 组虫媒病毒) ,B ,BSL-3,ASL-3 ,ABSL-3,BSL-1,BSL-2 ,重组病毒载体BSL-2 
87,"Sepik, Slovakia, Spondweni ",塞皮克病毒，斯洛伐克病毒，斯庞德温病毒,X-虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
88,Simian immunodeficiency virus ,猴免疫缺陷病毒 ,逆转录病毒科/慢病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
89,"Tamdy,Telok Forest, Tiacotalpan ",Tamdy 病毒，Telok 森林病毒， Tiacotapan病毒 ,X-虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
90,Tocio ,Tocio 病毒 ,X-虫媒病毒 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
91,West Nile virus ,西尼罗病毒,黄病毒科/黄病毒属 ,B ,BSL-3,ABSL-3,BSL-2 ,BSL-1, , 
92,Acute haemorrhagic conjunctivitis virus ,急性出血性结膜炎病毒,小 RNA 病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
93,Adenovirus ,腺病毒 ,腺病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
94,Adenovirus-associated virus ,腺病毒伴随病毒(AAV) , ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
