uid,Name,中文名 ,分类学地位 ,Class,活病毒培养、感染性材料核酸提取,动物感染 ,未灭活样本的检测、诊断 ,已确认灭活材料的实验操作 ,重组病毒,Note
167,Respiratory syncytial virus ,呼吸道合胞病毒 ,副黏病毒科/肺病毒属 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1,BSL-2 , 
168,"Rhadinovirus, except H. ateles and H. saimir ", 猴病毒 ,疱疹病毒科/猴病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
169,Rhinovirus ,鼻病毒 ,小 RNA 病毒科/ 鼻病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
170,Ross River virus ,罗西河病毒,披膜病毒科/甲病毒属(A 组虫媒病毒) ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
171,Rotavirus ,轮状病毒 ,呼肠孤病毒科/轮状病毒属 ,C ,BSL-2,ASL-3 ,BSL-1 ,BSL-1,BSL-2 ,部分（如 B 组）不能培养 
172,Rubivirus (Rubella) ,风疹病毒 ,披膜病毒科/风疹病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
173,Sammarez Reef ,Sammarez Reef 病毒 ,黄病毒科/黄病毒属(B 组虫媒病毒),C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
174,Sandfly fever virus ,白蛉热病毒,布尼雅病毒科/白蛉病毒属 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, , 
175,Scrapie ,瘙痒病因子,非传统性病原体 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, ,需要有 136℃高压灭菌条件 
176,Sendai virus (murine parainfluenza virus type 1) ,仙台病毒(鼠副流感病毒 1 型) ,副粘病毒科/副粘病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
177,Shope papilloma virus ,棉尾兔乳头瘤病毒 ,乳多空病毒/动物病毒载体 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
178,Simian virus 40 ,猴病毒 40 ,乳多空病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
179,Sindbis virus ,辛德毕斯病毒 ,披膜病毒科/甲病毒属(A 组虫媒病毒) ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
180,Tanapox virus ,塔那痘病毒,痘病毒科 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, , 
181,Tensaw virus ,Tensaw 病毒 ,布尼雅病毒科/布尼雅病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
182,Turlock virus ,Turlock 病毒 ,X-虫媒病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
183,Vaccinia virus ,牛痘病毒 ,痘病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 ,痘苗病毒载体与天花等病毒的成分重组，须经批准方可进行，防护条件至少 P3 
184,Vesicular stomatitis virus ,水泡性口炎病毒 ,弹状病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
185,"Yellow fever virus, vaccine strain,17D ","黄热病毒（疫苗株,17D） ",黄病毒科/黄病毒属(B 组虫媒病毒),C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 ,有疫苗 
186,Baculovirus ,杆状病毒 ,杆状病毒科 ,D ,BSL-1,ABSL-1,BSL-1 ,BSL-1,BSL-1 , 
187,Guinea pig herpes virus ,豚鼠疱疹病毒 ,病毒载体/动物病毒 ,D ,BSL-1,ABSL-1,BSL-1 ,BSL-1,BSL-1 , 
188,Hasmter leukemia virus ,金黄地鼠白血病病毒 ,病毒载体/动物逆转录病毒 ,D ,BSL-1,ABSL-1,BSL-1 ,BSL-1,BSL-1 , 
189,"Herpesvirus saimir, Genus Rhadinovirus","松鼠猴疱疹病毒, 猴病毒属 ",疱疹病毒科/ 动物病毒 ,D ,BSL-1,ABSL-1,BSL-1 ,BSL-1,BSL-1 , 
190,Mouse leukemia virus ,鼠白血病病毒 ,病毒载体/动物逆转录病毒 ,D ,BSL-1,ABSL-1,BSL-1 ,BSL-1,BSL-1 , 
191,Mouse mammary tumor virus ,小鼠乳腺瘤病毒 ,病毒载体/动物逆转录病毒 ,D ,BSL-1,ABSL-1,BSL-1 ,BSL-1,BSL-1 , 
192,Rat leukemia virus ,鼠白血病病毒 ,病毒载体/动物逆转录病毒 ,D ,BSL-1,ABSL-1,BSL-1 ,BSL-1,BSL-1 , 
 ,,,,,,,,,,
