X,I,T,V
0.0301,0.97211902856347,399999999.001324,0.0137389988890768
0.0308,0.99348984389415,399999998.978754,0.0137400092630761
0.0315,1.01483677784547,399999998.956182,0.0137413174251678
0.0322,1.0361603473405,399999998.933608,0.0137429227689332
0.0329,1.05746106769001,399999998.911031,0.0137448246957346
0.0336,1.07873945260717,399999998.88845,0.0137470226146846
0.0343,1.09999601422221,399999998.865865,0.0137495159426178
0.035,1.12123126309691,399999998.843276,0.0137523041040605
0.0357,1.14244570823913,399999998.820682,0.0137553865312026
0.0364,1.16363985711724,399999998.798082,0.0137587626638685
0.0371,1.18481421567444,399999998.775477,0.0137624319494885
0.0378,1.2059692883431,399999998.752865,0.0137663938430706
0.0385,1.227105578059,399999998.730246,0.0137706478071726
0.0392,1.24822358627543,399999998.70762,0.0137751933118741
0.0399,1.26932381297738,399999998.684986,0.013780029834749
0.0406,1.29040675669553,399999998.662344,0.013785156860838
0.0413,1.31147291452029,399999998.639693,0.0137905738826215
0.042,1.33252278211564,399999998.617032,0.0137962803999927
0.0427,1.35355685373306,399999998.594362,0.0138022759202307
0.0434,1.37457562222533,399999998.571682,0.0138085599579743
0.0441,1.39557957906022,399999998.548991,0.0138151320351955
0.0448,1.41656921433421,399999998.526289,0.0138219916811733
0.0455,1.43754501678613,399999998.503575,0.0138291384324682
0.0462,1.45850747381067,399999998.48085,0.0138365718328963
0.0469,1.47945707147194,399999998.458111,0.0138442914335039
0.0476,1.50039429451688,399999998.43536,0.0138522967925423
0.0483,1.52131962638866,399999998.412595,0.0138605874754429
0.049,1.54223354924004,399999998.389816,0.0138691630547923
0.0497,1.5631365439466,399999998.367023,0.0138780231103077
0.0504,1.58402909012001,399999998.344215,0.0138871672288125
0.0511,1.60491166612114,399999998.321391,0.0138965950042123
0.0518,1.62578474907324,399999998.298552,0.0139063060374706
0.0525,1.64664881487493,399999998.275696,0.0139162999365854
0.0532,1.66750433821322,399999998.252824,0.0139265763165656
0.0539,1.68835179257647,399999998.229934,0.0139371347994072
0.0546,1.70919165026729,399999998.207027,0.0139479750140709
0.0553,1.73002438241532,399999998.184101,0.0139590965964584
0.056,1.75085045899011,399999998.161157,0.0139704991893902
0.0567,1.77167034881375,399999998.138194,0.0139821824425827
0.0574,1.79248451957363,399999998.115211,0.013994146012626
0.0581,1.81329343783505,399999998.092209,0.0140063895629618
0.0588,1.83409756905375,399999998.069185,0.0140189127638614
0.0594999999999999,1.85489737758852,399999998.046141,0.0140317152924038
0.0601999999999999,1.8756933267136,399999998.023076,0.0140447968324544
0.0608999999999999,1.89648587863116,399999997.999988,0.0140581570746434
0.0615999999999999,1.91727549448361,399999997.976879,0.0140717957163446
0.0622999999999999,1.93806263436603,399999997.953746,0.0140857124616547
0.0629999999999999,1.95884775733834,399999997.930591,0.0140999070213721
0.0637,1.97963132143759,399999997.907412,0.0141143791129769
0.0644,2.00041378369013,399999997.884208,0.0141291284606096
0.0651,2.02119560012373,399999997.86098,0.0141441547950517
0.0658,2.04197722577966,399999997.837728,0.0141594578537053
0.0665,2.06275911472476,399999997.814449,0.0141750373805733
0.0672,2.0835417200634,399999997.791145,0.0141908931262396
0.0679,2.10432549394942,399999997.767814,0.0142070248478499
0.0686,2.12511088759806,399999997.744457,0.0142234323090922
0.0693,2.14589835129776,399999997.721072,0.0142401152801777
0.07,2.16668833442202,399999997.697659,0.014257073537822
0.0707,2.18748128544113,399999997.674218,0.0142743068652262
0.0714,2.2082776519339,399999997.650749,0.0142918150520585
0.0721,2.22907788059931,399999997.62725,0.0143095978944356
0.0728,2.24988241726815,399999997.603722,0.0143276551949049
0.0735,2.27069170691463,399999997.580164,0.0143459867624259
0.0742,2.29150619366786,399999997.556576,0.0143645924123528
0.0749000000000001,2.31232632082342,399999997.532956,0.0143834719664169
0.0756000000000001,2.33315253085474,399999997.509305,0.0144026252527085
0.0763000000000001,2.35398526542458,399999997.485623,0.0144220521056603
0.0770000000000001,2.37482496539635,399999997.461908,0.01444175236603
0.0777000000000001,2.39567207084547,399999997.43816,0.0144617258808831
0.0784000000000001,2.41652702107063,399999997.41438,0.0144819725035763
0.0791000000000001,2.43739025460507,399999997.390566,0.0145024920937412
